BacteriaId,Frame,Time (s),X,Y
ZkVXtRuuuDYrF8wjDQcTxa,94,3.103,494,447
ZkVXtRuuuDYrF8wjDQcTxa,95,3.136,498,445
ZkVXtRuuuDYrF8wjDQcTxa,96,3.170,502,444
ZkVXtRuuuDYrF8wjDQcTxa,97,3.203,503,437
ZkVXtRuuuDYrF8wjDQcTxa,98,3.237,506,435
ZkVXtRuuuDYrF8wjDQcTxa,99,3.270,506,437
ZkVXtRuuuDYrF8wjDQcTxa,100,3.303,501,438
ZkVXtRuuuDYrF8wjDQcTxa,101,3.337,503,439
ZkVXtRuuuDYrF8wjDQcTxa,102,3.370,500,437
ZkVXtRuuuDYrF8wjDQcTxa,103,3.403,502,443
ZkVXtRuuuDYrF8wjDQcTxa,104,3.437,506,435
ZkVXtRuuuDYrF8wjDQcTxa,105,3.470,505,431
ZkVXtRuuuDYrF8wjDQcTxa,106,3.504,508,430
ZkVXtRuuuDYrF8wjDQcTxa,107,3.537,508,425
ZkVXtRuuuDYrF8wjDQcTxa,108,3.570,508,434
ZkVXtRuuuDYrF8wjDQcTxa,109,3.604,505,434
ZkVXtRuuuDYrF8wjDQcTxa,110,3.637,503,432
ZkVXtRuuuDYrF8wjDQcTxa,111,3.670,498,435
ZkVXtRuuuDYrF8wjDQcTxa,112,3.704,504,427
ZkVXtRuuuDYrF8wjDQcTxa,113,3.737,523,411
ZkVXtRuuuDYrF8wjDQcTxa,114,3.770,529,412
ZkVXtRuuuDYrF8wjDQcTxa,115,3.804,527,411
ZkVXtRuuuDYrF8wjDQcTxa,116,3.837,532,415
ZkVXtRuuuDYrF8wjDQcTxa,117,3.871,528,416
ZkVXtRuuuDYrF8wjDQcTxa,118,3.904,528,407
ZkVXtRuuuDYrF8wjDQcTxa,119,3.937,525,409
ZkVXtRuuuDYrF8wjDQcTxa,120,3.971,529,414
ZkVXtRuuuDYrF8wjDQcTxa,121,4.004,534,422
ZkVXtRuuuDYrF8wjDQcTxa,122,4.037,536,421
ZkVXtRuuuDYrF8wjDQcTxa,123,4.071,538,419
ZkVXtRuuuDYrF8wjDQcTxa,124,4.104,541,416
ZkVXtRuuuDYrF8wjDQcTxa,125,4.137,539,417
ZkVXtRuuuDYrF8wjDQcTxa,126,4.171,543,415
ZkVXtRuuuDYrF8wjDQcTxa,127,4.204,543,403
ZkVXtRuuuDYrF8wjDQcTxa,128,4.238,544,402
ZkVXtRuuuDYrF8wjDQcTxa,129,4.271,553,391
ZkVXtRuuuDYrF8wjDQcTxa,130,4.304,551,393
ZkVXtRuuuDYrF8wjDQcTxa,131,4.338,550,397
ZkVXtRuuuDYrF8wjDQcTxa,132,4.371,553,413
ZkVXtRuuuDYrF8wjDQcTxa,133,4.404,537,411
ZkVXtRuuuDYrF8wjDQcTxa,134,4.438,532,404
ZkVXtRuuuDYrF8wjDQcTxa,135,4.471,556,401
ZkVXtRuuuDYrF8wjDQcTxa,136,4.505,558,397
ZkVXtRuuuDYrF8wjDQcTxa,137,4.538,565,413
ZkVXtRuuuDYrF8wjDQcTxa,138,4.571,552,404
ZkVXtRuuuDYrF8wjDQcTxa,139,4.605,564,413
ZkVXtRuuuDYrF8wjDQcTxa,140,4.638,573,413
ZkVXtRuuuDYrF8wjDQcTxa,141,4.671,568,405
ZkVXtRuuuDYrF8wjDQcTxa,142,4.705,567,399
ZkVXtRuuuDYrF8wjDQcTxa,143,4.738,575,407
ZkVXtRuuuDYrF8wjDQcTxa,144,4.771,569,386
ZkVXtRuuuDYrF8wjDQcTxa,145,4.805,571,387
ZkVXtRuuuDYrF8wjDQcTxa,146,4.838,579,410
ZkVXtRuuuDYrF8wjDQcTxa,147,4.872,572,411
ZkVXtRuuuDYrF8wjDQcTxa,148,4.905,585,390
ZkVXtRuuuDYrF8wjDQcTxa,149,4.938,591,396
ZkVXtRuuuDYrF8wjDQcTxa,150,4.972,603,396
ZkVXtRuuuDYrF8wjDQcTxa,151,5.005,602,393
ZkVXtRuuuDYrF8wjDQcTxa,152,5.038,618,389
ZkVXtRuuuDYrF8wjDQcTxa,153,5.072,632,388
ZkVXtRuuuDYrF8wjDQcTxa,154,5.105,639,380
ZkVXtRuuuDYrF8wjDQcTxa,155,5.138,637,379
ZkVXtRuuuDYrF8wjDQcTxa,156,5.172,639,385
ZkVXtRuuuDYrF8wjDQcTxa,157,5.205,642,381
ZkVXtRuuuDYrF8wjDQcTxa,158,5.239,637,375
ZkVXtRuuuDYrF8wjDQcTxa,159,5.272,642,375
ZkVXtRuuuDYrF8wjDQcTxa,160,5.305,641,371
ZkVXtRuuuDYrF8wjDQcTxa,161,5.339,641,370
ZkVXtRuuuDYrF8wjDQcTxa,162,5.372,641,367
ZkVXtRuuuDYrF8wjDQcTxa,163,5.405,642,369
ZkVXtRuuuDYrF8wjDQcTxa,164,5.439,635,367
ZkVXtRuuuDYrF8wjDQcTxa,165,5.472,637,368
ZkVXtRuuuDYrF8wjDQcTxa,166,5.506,642,368
ZkVXtRuuuDYrF8wjDQcTxa,167,5.539,663,362
ZkVXtRuuuDYrF8wjDQcTxa,168,5.572,671,352
ZkVXtRuuuDYrF8wjDQcTxa,169,5.606,667,353
ZkVXtRuuuDYrF8wjDQcTxa,170,5.639,665,348
ZkVXtRuuuDYrF8wjDQcTxa,171,5.672,662,354
ZkVXtRuuuDYrF8wjDQcTxa,172,5.706,665,358
ZkVXtRuuuDYrF8wjDQcTxa,173,5.739,665,355
ZkVXtRuuuDYrF8wjDQcTxa,174,5.772,666,356
ZkVXtRuuuDYrF8wjDQcTxa,175,5.806,669,354
ZkVXtRuuuDYrF8wjDQcTxa,176,5.839,680,346
ZkVXtRuuuDYrF8wjDQcTxa,177,5.873,678,344
ZkVXtRuuuDYrF8wjDQcTxa,178,5.906,672,341
ZkVXtRuuuDYrF8wjDQcTxa,179,5.939,674,343
ZkVXtRuuuDYrF8wjDQcTxa,180,5.973,671,338
ZkVXtRuuuDYrF8wjDQcTxa,181,6.006,675,341
ZkVXtRuuuDYrF8wjDQcTxa,182,6.039,675,347
ZkVXtRuuuDYrF8wjDQcTxa,183,6.073,677,346
ZkVXtRuuuDYrF8wjDQcTxa,184,6.106,679,343
ZkVXtRuuuDYrF8wjDQcTxa,185,6.139,679,340
ZkVXtRuuuDYrF8wjDQcTxa,186,6.173,675,337
ZkVXtRuuuDYrF8wjDQcTxa,187,6.206,681,336
ZkVXtRuuuDYrF8wjDQcTxa,188,6.240,678,342
ZkVXtRuuuDYrF8wjDQcTxa,189,6.273,682,344
ZkVXtRuuuDYrF8wjDQcTxa,190,6.306,685,349
ZkVXtRuuuDYrF8wjDQcTxa,191,6.340,689,349
ZkVXtRuuuDYrF8wjDQcTxa,192,6.373,686,352
ZkVXtRuuuDYrF8wjDQcTxa,193,6.406,710,357
ZkVXtRuuuDYrF8wjDQcTxa,194,6.440,691,359
ZkVXtRuuuDYrF8wjDQcTxa,195,6.473,675,343
ZkVXtRuuuDYrF8wjDQcTxa,196,6.507,691,361
ZkVXtRuuuDYrF8wjDQcTxa,197,6.540,695,360
ZkVXtRuuuDYrF8wjDQcTxa,198,6.573,701,363
ZkVXtRuuuDYrF8wjDQcTxa,199,6.607,708,359
ZkVXtRuuuDYrF8wjDQcTxa,200,6.640,703,356
ZkVXtRuuuDYrF8wjDQcTxa,201,6.673,703,358
ZkVXtRuuuDYrF8wjDQcTxa,202,6.707,704,359
ZkVXtRuuuDYrF8wjDQcTxa,203,6.740,703,358
ZkVXtRuuuDYrF8wjDQcTxa,204,6.773,709,359
ZkVXtRuuuDYrF8wjDQcTxa,205,6.807,717,362
ZkVXtRuuuDYrF8wjDQcTxa,206,6.840,707,367
ZkVXtRuuuDYrF8wjDQcTxa,207,6.874,701,373
ZkVXtRuuuDYrF8wjDQcTxa,208,6.907,701,374
ZkVXtRuuuDYrF8wjDQcTxa,209,6.940,704,378
ZkVXtRuuuDYrF8wjDQcTxa,210,6.974,698,381
ZkVXtRuuuDYrF8wjDQcTxa,211,7.007,697,372
ZkVXtRuuuDYrF8wjDQcTxa,212,7.040,696,375
ZkVXtRuuuDYrF8wjDQcTxa,213,7.074,703,396
ZkVXtRuuuDYrF8wjDQcTxa,214,7.107,706,396
ZkVXtRuuuDYrF8wjDQcTxa,215,7.140,706,417
ZkVXtRuuuDYrF8wjDQcTxa,216,7.174,702,417
ZkVXtRuuuDYrF8wjDQcTxa,217,7.207,696,400
ZkVXtRuuuDYrF8wjDQcTxa,218,7.241,710,420
ZkVXtRuuuDYrF8wjDQcTxa,219,7.274,709,398
ZkVXtRuuuDYrF8wjDQcTxa,220,7.307,709,396
ZkVXtRuuuDYrF8wjDQcTxa,221,7.341,717,402
ZkVXtRuuuDYrF8wjDQcTxa,222,7.374,714,407
ZkVXtRuuuDYrF8wjDQcTxa,223,7.407,707,408
ZkVXtRuuuDYrF8wjDQcTxa,224,7.441,713,408
ZkVXtRuuuDYrF8wjDQcTxa,225,7.474,718,410
ZkVXtRuuuDYrF8wjDQcTxa,226,7.508,718,407
ZkVXtRuuuDYrF8wjDQcTxa,227,7.541,717,406
ZkVXtRuuuDYrF8wjDQcTxa,228,7.574,720,400
ZkVXtRuuuDYrF8wjDQcTxa,229,7.608,722,400
ZkVXtRuuuDYrF8wjDQcTxa,230,7.641,720,398
ZkVXtRuuuDYrF8wjDQcTxa,231,7.674,724,404
ZkVXtRuuuDYrF8wjDQcTxa,232,7.708,722,398
ZkVXtRuuuDYrF8wjDQcTxa,233,7.741,726,396
ZkVXtRuuuDYrF8wjDQcTxa,234,7.774,728,396
ZkVXtRuuuDYrF8wjDQcTxa,235,7.808,730,395
ZkVXtRuuuDYrF8wjDQcTxa,236,7.841,732,395
ZkVXtRuuuDYrF8wjDQcTxa,237,7.875,731,394
