BacteriaId,Frame,Time (s),X,Y
kFwGM4EmvzUUxGPkr55bCk,100,3.303,874,235
kFwGM4EmvzUUxGPkr55bCk,101,3.337,874,234
kFwGM4EmvzUUxGPkr55bCk,102,3.370,876,231
kFwGM4EmvzUUxGPkr55bCk,103,3.403,878,227
kFwGM4EmvzUUxGPkr55bCk,104,3.437,876,226
kFwGM4EmvzUUxGPkr55bCk,105,3.470,881,226
kFwGM4EmvzUUxGPkr55bCk,106,3.504,880,228
kFwGM4EmvzUUxGPkr55bCk,107,3.537,883,227
kFwGM4EmvzUUxGPkr55bCk,108,3.570,881,228
kFwGM4EmvzUUxGPkr55bCk,109,3.604,882,226
kFwGM4EmvzUUxGPkr55bCk,110,3.637,882,221
kFwGM4EmvzUUxGPkr55bCk,111,3.670,882,226
kFwGM4EmvzUUxGPkr55bCk,112,3.704,883,229
kFwGM4EmvzUUxGPkr55bCk,113,3.737,884,225
kFwGM4EmvzUUxGPkr55bCk,114,3.770,887,223
kFwGM4EmvzUUxGPkr55bCk,115,3.804,886,222
kFwGM4EmvzUUxGPkr55bCk,116,3.837,891,221
kFwGM4EmvzUUxGPkr55bCk,117,3.871,889,221
kFwGM4EmvzUUxGPkr55bCk,118,3.904,889,219
kFwGM4EmvzUUxGPkr55bCk,119,3.937,888,218
kFwGM4EmvzUUxGPkr55bCk,120,3.971,889,216
kFwGM4EmvzUUxGPkr55bCk,121,4.004,893,219
kFwGM4EmvzUUxGPkr55bCk,122,4.037,893,216
kFwGM4EmvzUUxGPkr55bCk,123,4.071,892,216
kFwGM4EmvzUUxGPkr55bCk,124,4.104,892,216
kFwGM4EmvzUUxGPkr55bCk,125,4.137,891,213
kFwGM4EmvzUUxGPkr55bCk,126,4.171,891,212
kFwGM4EmvzUUxGPkr55bCk,127,4.204,895,211
kFwGM4EmvzUUxGPkr55bCk,128,4.238,895,211
kFwGM4EmvzUUxGPkr55bCk,129,4.271,890,208
kFwGM4EmvzUUxGPkr55bCk,130,4.304,891,209
