BacteriaId,Frame,Time,X,Y
NCTRQs4ueconmoYkbHqTtk,103,3.403,524,598
NCTRQs4ueconmoYkbHqTtk,104,3.437,526,598
NCTRQs4ueconmoYkbHqTtk,105,3.470,525,593
NCTRQs4ueconmoYkbHqTtk,106,3.504,524,593
NCTRQs4ueconmoYkbHqTtk,107,3.537,530,595
NCTRQs4ueconmoYkbHqTtk,108,3.570,528,600
NCTRQs4ueconmoYkbHqTtk,109,3.604,528,599
NCTRQs4ueconmoYkbHqTtk,110,3.637,528,597
NCTRQs4ueconmoYkbHqTtk,111,3.670,530,597
NCTRQs4ueconmoYkbHqTtk,112,3.704,531,597
NCTRQs4ueconmoYkbHqTtk,113,3.737,530,597
NCTRQs4ueconmoYkbHqTtk,114,3.770,532,596
NCTRQs4ueconmoYkbHqTtk,115,3.804,532,593
NCTRQs4ueconmoYkbHqTtk,116,3.837,533,592
NCTRQs4ueconmoYkbHqTtk,117,3.871,534,591
NCTRQs4ueconmoYkbHqTtk,118,3.904,536,591
NCTRQs4ueconmoYkbHqTtk,119,3.937,537,591
NCTRQs4ueconmoYkbHqTtk,120,3.971,536,589
NCTRQs4ueconmoYkbHqTtk,121,4.004,539,592
NCTRQs4ueconmoYkbHqTtk,122,4.037,537,595
NCTRQs4ueconmoYkbHqTtk,123,4.071,536,589
NCTRQs4ueconmoYkbHqTtk,124,4.104,536,592
NCTRQs4ueconmoYkbHqTtk,125,4.137,539,587
NCTRQs4ueconmoYkbHqTtk,126,4.171,539,587
NCTRQs4ueconmoYkbHqTtk,127,4.204,538,586
NCTRQs4ueconmoYkbHqTtk,128,4.238,538,586
NCTRQs4ueconmoYkbHqTtk,129,4.271,538,588
NCTRQs4ueconmoYkbHqTtk,130,4.304,539,589
NCTRQs4ueconmoYkbHqTtk,131,4.338,540,589
NCTRQs4ueconmoYkbHqTtk,132,4.371,543,592
NCTRQs4ueconmoYkbHqTtk,133,4.404,541,583
NCTRQs4ueconmoYkbHqTtk,134,4.438,543,579
NCTRQs4ueconmoYkbHqTtk,135,4.471,538,586
NCTRQs4ueconmoYkbHqTtk,136,4.505,541,584
NCTRQs4ueconmoYkbHqTtk,137,4.538,541,584
NCTRQs4ueconmoYkbHqTtk,138,4.571,545,580
NCTRQs4ueconmoYkbHqTtk,139,4.605,544,575
NCTRQs4ueconmoYkbHqTtk,140,4.638,543,573
NCTRQs4ueconmoYkbHqTtk,141,4.671,542,573
NCTRQs4ueconmoYkbHqTtk,142,4.705,542,570
NCTRQs4ueconmoYkbHqTtk,143,4.738,543,570
NCTRQs4ueconmoYkbHqTtk,144,4.771,545,573
NCTRQs4ueconmoYkbHqTtk,145,4.805,546,571
NCTRQs4ueconmoYkbHqTtk,146,4.838,546,573
NCTRQs4ueconmoYkbHqTtk,147,4.872,546,571
NCTRQs4ueconmoYkbHqTtk,148,4.905,549,569
NCTRQs4ueconmoYkbHqTtk,149,4.938,548,570
NCTRQs4ueconmoYkbHqTtk,150,4.972,550,568
NCTRQs4ueconmoYkbHqTtk,151,5.005,550,569
NCTRQs4ueconmoYkbHqTtk,152,5.038,554,568
NCTRQs4ueconmoYkbHqTtk,153,5.072,554,566
NCTRQs4ueconmoYkbHqTtk,154,5.105,556,564
NCTRQs4ueconmoYkbHqTtk,155,5.138,559,567
NCTRQs4ueconmoYkbHqTtk,156,5.172,558,566
NCTRQs4ueconmoYkbHqTtk,157,5.205,562,566
NCTRQs4ueconmoYkbHqTtk,158,5.239,561,566
NCTRQs4ueconmoYkbHqTtk,159,5.272,565,565
NCTRQs4ueconmoYkbHqTtk,160,5.305,566,563
