BacteriaId,Frame,Time,X,Y
QiWboHBAeNUKBYc3xCVtWe,100,3.303,352,312
QiWboHBAeNUKBYc3xCVtWe,101,3.337,353,312
QiWboHBAeNUKBYc3xCVtWe,102,3.370,357,310
QiWboHBAeNUKBYc3xCVtWe,103,3.403,359,311
QiWboHBAeNUKBYc3xCVtWe,104,3.437,357,313
QiWboHBAeNUKBYc3xCVtWe,105,3.470,359,310
QiWboHBAeNUKBYc3xCVtWe,106,3.504,356,313
QiWboHBAeNUKBYc3xCVtWe,107,3.537,356,312
QiWboHBAeNUKBYc3xCVtWe,108,3.570,358,314
QiWboHBAeNUKBYc3xCVtWe,109,3.604,358,316
QiWboHBAeNUKBYc3xCVtWe,110,3.637,355,315
QiWboHBAeNUKBYc3xCVtWe,111,3.670,355,317
QiWboHBAeNUKBYc3xCVtWe,112,3.704,360,315
QiWboHBAeNUKBYc3xCVtWe,113,3.737,364,314
QiWboHBAeNUKBYc3xCVtWe,114,3.770,361,314
QiWboHBAeNUKBYc3xCVtWe,115,3.804,365,312
QiWboHBAeNUKBYc3xCVtWe,116,3.837,367,315
QiWboHBAeNUKBYc3xCVtWe,117,3.871,363,312
QiWboHBAeNUKBYc3xCVtWe,118,3.904,362,314
QiWboHBAeNUKBYc3xCVtWe,119,3.937,362,315
QiWboHBAeNUKBYc3xCVtWe,120,3.971,367,313
QiWboHBAeNUKBYc3xCVtWe,121,4.004,372,310
QiWboHBAeNUKBYc3xCVtWe,122,4.037,374,307
QiWboHBAeNUKBYc3xCVtWe,123,4.071,376,307
QiWboHBAeNUKBYc3xCVtWe,124,4.104,378,305
QiWboHBAeNUKBYc3xCVtWe,125,4.137,378,306
QiWboHBAeNUKBYc3xCVtWe,126,4.171,379,307
QiWboHBAeNUKBYc3xCVtWe,127,4.204,379,309
QiWboHBAeNUKBYc3xCVtWe,128,4.238,375,310
QiWboHBAeNUKBYc3xCVtWe,129,4.271,378,310
QiWboHBAeNUKBYc3xCVtWe,130,4.304,378,309
QiWboHBAeNUKBYc3xCVtWe,131,4.338,377,307
QiWboHBAeNUKBYc3xCVtWe,132,4.371,383,306
QiWboHBAeNUKBYc3xCVtWe,133,4.404,385,304
QiWboHBAeNUKBYc3xCVtWe,134,4.438,385,304
QiWboHBAeNUKBYc3xCVtWe,135,4.471,361,299
QiWboHBAeNUKBYc3xCVtWe,136,4.505,385,301
QiWboHBAeNUKBYc3xCVtWe,137,4.538,387,297
QiWboHBAeNUKBYc3xCVtWe,138,4.571,388,298
QiWboHBAeNUKBYc3xCVtWe,139,4.605,389,298
QiWboHBAeNUKBYc3xCVtWe,140,4.638,389,298
QiWboHBAeNUKBYc3xCVtWe,141,4.671,392,296
QiWboHBAeNUKBYc3xCVtWe,142,4.705,393,296
QiWboHBAeNUKBYc3xCVtWe,143,4.738,391,298
QiWboHBAeNUKBYc3xCVtWe,144,4.771,395,297
QiWboHBAeNUKBYc3xCVtWe,145,4.805,394,295
QiWboHBAeNUKBYc3xCVtWe,146,4.838,395,296
QiWboHBAeNUKBYc3xCVtWe,147,4.872,392,292
QiWboHBAeNUKBYc3xCVtWe,148,4.905,395,292
QiWboHBAeNUKBYc3xCVtWe,149,4.938,398,293
QiWboHBAeNUKBYc3xCVtWe,150,4.972,398,291
QiWboHBAeNUKBYc3xCVtWe,151,5.005,396,288
QiWboHBAeNUKBYc3xCVtWe,152,5.038,394,286
QiWboHBAeNUKBYc3xCVtWe,153,5.072,395,286
QiWboHBAeNUKBYc3xCVtWe,154,5.105,399,282
QiWboHBAeNUKBYc3xCVtWe,155,5.138,399,281
QiWboHBAeNUKBYc3xCVtWe,156,5.172,400,280
QiWboHBAeNUKBYc3xCVtWe,157,5.205,405,278
QiWboHBAeNUKBYc3xCVtWe,158,5.239,405,277
QiWboHBAeNUKBYc3xCVtWe,159,5.272,409,274
QiWboHBAeNUKBYc3xCVtWe,160,5.305,405,272
QiWboHBAeNUKBYc3xCVtWe,161,5.339,408,273
QiWboHBAeNUKBYc3xCVtWe,162,5.372,409,273
QiWboHBAeNUKBYc3xCVtWe,163,5.405,404,278
QiWboHBAeNUKBYc3xCVtWe,164,5.439,407,274
QiWboHBAeNUKBYc3xCVtWe,165,5.472,409,274
QiWboHBAeNUKBYc3xCVtWe,166,5.506,409,275
QiWboHBAeNUKBYc3xCVtWe,167,5.539,412,276
QiWboHBAeNUKBYc3xCVtWe,168,5.572,408,278
